price,crime_rate,resid_area,air_qual,room_num,age,dist1,dist2,dist3,dist4,teachers,poor_prop,n_hos_beds,n_hot_rooms,rainfall,parks,airport,waterbody,bus_ter
21.4,0.090863946,42.83,0.437,6.286,45,4.83,4.5,4.83,3.86,21.3,8.94,6.028,10.1712,28,0.038144597,NO,None,YES
20,0.096700122,42.83,0.437,6.279,74.5,4.33,3.72,4.26,3.9,21.3,11.97,7.3,12.16,22,0.045274535,NO,None,YES
20.8,0.083486003,42.83,0.437,6.14,45.8,4.32,4.06,4.26,3.72,21.3,10.27,5.916,11.1664,57,0.041829283,YES,River,YES
21.2,0.054923696,42.83,0.437,6.232,53.7,5.34,5,5.1,4.62,21.3,12.34,8.824,15.1696,53,0.03764722,YES,Lake,YES
20.3,0.08053797,42.83,0.437,5.874,36.6,4.53,4.23,4.82,4.43,21.3,9.1,6.406,15.1624,37,0.047111045,NO,Lake and River,YES
28,0.040306662,34.86,0.426,6.727,33.5,5.5,5.28,5.4,5.42,21,5.29,6.46,14.224,54,0.037354248,YES,Lake,YES
23.9,0.043653183,34.86,0.426,6.619,70.4,5.71,5.11,5.71,5.08,21,7.22,5.578,12.1912,49,0.050032616,YES,Lake,YES
24.8,0.03593648,34.86,0.426,6.302,32.2,5.53,5.19,5.47,5.42,21,6.72,6.096,10.1984,20,0.04682196,NO,River,YES
22.9,0.034894059,34.86,0.426,6.167,46.7,5.52,5.18,5.67,5.23,21,7.51,7.558,10.1832,34,0.040448628,YES,Lake,YES
23.9,0.049351911,34.49,0.449,6.389,48,4.97,4.71,4.99,4.45,21.5,9.62,6.678,14.1912,23,0.042125262,NO,Lake,YES
26.6,0.055765778,34.49,0.449,6.63,56.1,4.75,4.15,4.49,4.37,21.5,6.53,9.732,12.2128,56,0.052065566,NO,River,YES
22.5,0.050579039,34.49,0.449,6.015,45.1,4.62,4.16,4.49,4.44,21.5,12.86,5.95,11.18,50,0.047156577,YES,River,YES
22.2,0.069068869,34.49,0.449,6.121,56.8,3.93,3.74,3.84,3.48,21.5,8.44,7.244,12.1776,43,0.050998564,YES,None,YES
23.6,0.055056206,33.41,0.489,7.007,86.3,3.5,3.09,3.44,3.65,22.2,5.5,6.972,10.1888,28,0.04554757,NO,River,YES
28.7,0.051662226,33.41,0.489,7.079,63.1,3.66,3.38,3.73,2.89,22.2,5.7,7.574,15.2296,31,0.047722824,YES,None,YES
22.6,0.045776103,33.41,0.489,6.417,66.1,3.14,2.93,3.15,3.15,22.2,8.81,7.352,15.1808,58,0.042303076,YES,Lake,YES
22,0.038566653,33.41,0.489,6.405,73.9,3.16,2.95,3.41,2.85,22.2,8.2,8.24,13.176,23,0.045096039,NO,River,YES
22.9,0.041170734,45.04,0.464,6.442,53.6,3.96,3.41,3.97,3.32,21.8,8.16,9.158,14.1832,60,0.051749737,NO,Lake,YES
25,0.028344473,45.04,0.464,6.211,28.9,3.92,3.55,3.81,3.39,21.8,6.21,10.3,14.2,46,0.049108903,NO,Lake and River,YES
20.6,0.042043648,45.04,0.464,6.249,77.3,3.81,3.34,3.92,3.39,21.8,10.59,5.712,13.1648,54,0.046459979,NO,Lake and River,YES
28.4,0.115148457,32.89,0.445,6.625,57.8,3.57,3.23,3.76,3.42,22,6.65,9.968,14.2272,46,0.046627461,NO,River,YES
21.4,0.108890279,32.89,0.445,6.163,69.6,3.58,3.35,3.54,3.51,22,11.34,10.228,12.1712,21,0.046213944,NO,River,YES
38.7,0.114069482,32.89,0.445,8.069,76,3.7,3.32,3.57,3.39,22,4.21,6.274,12.3096,53,0.041200534,YES,River,YES
43.8,0.078691025,32.89,0.445,7.82,36.9,3.54,3.42,3.6,3.43,22,3.57,10.876,10.3504,25,0.051129581,YES,Lake and River,YES
33.2,0.066349381,32.89,0.445,7.416,62.5,3.83,3.36,3.67,3.13,22,6.19,6.564,13.2656,31,0.050933645,NO,River,YES
27.5,0.138596046,38.56,0.52,6.727,79.9,3.1,2.68,2.81,2.52,19.1,9.42,9.65,15.22,24,0.046955478,YES,Lake,YES
26.5,0.108244353,38.56,0.52,6.781,71.3,3.15,2.74,3.12,2.42,19.1,7.67,7.23,10.212,58,0.0444151,YES,River,YES
18.6,0.206005531,38.56,0.52,6.405,85.4,3.03,2.55,2.73,2.55,19.1,10.63,6.772,13.1488,57,0.054341122,NO,Lake and River,YES
19.3,0.191950054,38.56,0.52,6.137,87.4,2.97,2.42,2.88,2.58,19.1,13.44,6.886,14.1544,36,0.05540686,YES,None,YES
20.1,0.130677324,38.56,0.52,6.167,90,2.63,2.25,2.68,2.13,19.1,12.33,7.102,10.1608,20,0.045728768,YES,None,YES
19.5,0.124533533,38.56,0.52,5.851,96.7,2.19,1.95,2.13,2.15,19.1,16.47,7.89,13.156,57,0.05142062,YES,None,YES
19.5,0.158028864,38.56,0.52,5.836,91.9,2.37,2.07,2.48,1.92,19.1,18.66,10.29,14.156,20,0.048169777,YES,Lake,YES
20.4,0.123252495,38.56,0.52,6.127,85.2,2.35,1.95,2.17,2.02,19.1,14.09,6.008,14.1632,57,0.05169746,YES,Lake and River,YES
19.8,0.120463883,38.56,0.52,6.474,97.1,2.72,2.18,2.54,2.3,19.1,12.27,8.596,10.1584,48,0.050114607,NO,Lake and River,YES
19.4,0.233988531,38.56,0.52,6.229,91.2,2.57,2.28,2.88,2.45,19.1,15.55,9.788,14.1552,41,0.055473931,YES,None,YES
21.7,0.102493409,38.56,0.52,6.195,54.4,3.05,2.6,3.04,2.42,19.1,13,6.934,10.1736,37,0.045227306,YES,None,YES
22.8,0.096073525,40.01,0.547,6.715,81.6,2.81,2.63,3,2.26,22.2,10.16,5.656,13.1824,34,0.05432915,YES,River,YES
18.8,0.116261879,40.01,0.547,5.913,92.9,2.55,2.23,2.56,2.07,22.2,16.21,,15.1504,35,0.057643674,YES,River,YES
18.7,0.200587056,40.01,0.547,6.092,95.4,2.59,2.25,2.55,2.8,22.2,17.09,10.074,10.1496,59,0.060331195,YES,River,YES
18.5,0.133052528,40.01,0.547,6.254,84.2,2.54,2.14,2.29,2.05,22.2,10.45,6.67,12.148,39,0.056980267,NO,Lake and River,YES
18.3,0.158148393,40.01,0.547,5.928,88.2,2.56,2.41,2.72,2.16,22.2,15.76,7.566,11.1464,24,0.053824188,NO,None,YES
21.2,0.123614886,40.01,0.547,6.176,72.5,2.93,2.71,3,2.28,22.2,12.04,6.524,13.1696,23,0.052774054,NO,None,YES
19.2,0.140613753,40.01,0.547,6.021,82.6,2.77,2.49,2.92,2.81,22.2,10.3,9.484,15.1536,28,0.060808694,NO,Lake and River,YES
20.4,0.122730775,40.01,0.547,5.872,73.1,2.8,2.27,2.62,2.22,22.2,15.37,8.008,14.1632,40,0.056588861,YES,River,YES
19.3,0.135195008,40.01,0.547,5.731,65.2,2.96,2.52,2.92,2.63,22.2,13.61,10.186,11.1544,20,0.052908001,YES,River,YES
22,0.066714277,55.65,0.581,5.87,69.7,2.4,2.16,2.53,1.94,20.9,14.37,7.84,10.176,23,0.056973923,YES,River,YES
20.3,0.069199517,55.65,0.581,6.004,84.1,2.44,1.96,2.37,2.02,20.9,14.27,9.706,10.1624,39,0.056765616,YES,Lake and River,YES
20.5,0.08891706,55.65,0.581,5.961,92.9,2.34,1.85,2.27,1.9,20.9,17.93,8.91,10.164,51,0.060720897,YES,None,YES
17.3,0.140092323,55.65,0.581,5.856,97,2.22,1.82,2.07,1.67,20.9,25.41,9.146,10.1384,51,0.052355372,YES,Lake,YES
18.8,0.093936509,55.65,0.581,5.879,95.8,2.21,1.74,2.2,1.88,20.9,17.58,6.276,13.1504,56,0.062119064,NO,River,YES
21.4,0.156165791,55.65,0.581,5.986,88.4,2.13,1.85,2.29,1.69,20.9,14.81,8.128,14.1712,22,0.060716839,YES,Lake,YES
15.7,0.327395453,55.65,0.581,5.613,95.6,1.93,1.52,1.8,1.77,20.9,27.26,7.714,10.1256,42,0.063462127,NO,Lake,YES
16.2,0.23043689,51.89,0.624,5.693,96,2.09,1.73,1.84,1.49,18.8,17.19,5.924,15.1296,31,0.056659877,YES,None,YES
18,0.281736935,51.89,0.624,6.431,98.8,1.96,1.61,1.92,1.77,18.8,15.39,8.16,14.144,41,0.056365006,NO,None,YES
14.3,0.63193645,51.89,0.624,5.637,94.7,2.3,1.88,2.1,1.65,18.8,18.34,7.886,10.1144,30,0.058060503,YES,Lake,YES
19.2,0.292714389,51.89,0.624,6.458,98.9,2.37,1.93,2.36,1.81,18.8,12.6,8.984,13.1536,25,0.066273177,YES,None,YES
19.6,0.785243109,51.89,0.624,6.326,97.7,2.54,2.03,2.42,2.09,18.8,12.26,7.592,12.1568,29,0.055879606,YES,None,YES
23,0.463765462,51.89,0.624,6.372,97.9,2.41,2.16,2.4,2.34,18.8,11.12,8.96,12.184,57,0.05495705,YES,Lake and River,YES
18.4,0.285043595,51.89,0.624,5.822,95.4,2.73,2.42,2.53,2.21,18.8,15.03,10.268,10.1472,58,0.061670168,YES,Lake and River,YES
15.6,0.681160628,51.89,0.624,5.757,98.4,2.35,2.28,2.53,2.23,18.8,17.31,9.012,11.1248,32,0.064571272,NO,Lake and River,YES
18.1,0.443261731,51.89,0.624,6.335,98.2,2.22,2.07,2.32,1.83,18.8,16.96,7.862,11.1448,37,0.066297131,YES,River,YES
17.4,0.279629739,51.89,0.624,5.942,93.5,2.26,1.84,2.18,1.59,18.8,16.9,10.148,10.1392,37,0.062157471,NO,River,YES
17.1,0.301829031,51.89,0.624,6.454,98.4,2.15,1.53,2.17,1.55,18.8,14.59,6.942,11.1368,40,0.067321325,YES,None,YES
13.3,0.222983539,51.89,0.624,5.857,98.2,1.89,1.41,1.84,1.53,18.8,21.32,8.066,14.1064,39,0.059284665,NO,River,YES
17.8,0.434713182,51.89,0.624,6.151,97.9,1.91,1.59,1.68,1.49,18.8,18.46,8.656,10.1424,29,0.059113982,YES,Lake,YES
14,0.25533965,51.89,0.624,6.174,93.6,1.86,1.54,1.87,1.18,18.8,24.16,5.68,10.112,28,0.056976992,NO,Lake,YES
14.4,0.966466602,51.89,0.624,5.019,100,1.63,1.32,1.71,1.1,18.8,34.41,9.988,12.1152,43,0.056051787,YES,None,YES
13.4,1.463498428,49.58,0.871,5.403,100,1.34,1.04,1.64,1.27,25.3,26.82,5.268,13.1072,42,0.080678048,YES,River,YES
15.6,1.628730606,49.58,0.871,5.468,100,1.64,1.2,1.58,1.23,25.3,26.42,7.312,13.1248,25,0.07925606,YES,None,YES
11.8,1.329655224,49.58,0.871,4.903,97.8,1.48,1.08,1.55,1.27,25.3,29.29,6.636,13.0944,52,0.079429069,YES,River,YES
13.8,1.217680424,49.58,0.871,6.13,100,1.69,1.26,1.72,1.01,25.3,27.8,7.776,10.1104,59,0.084516058,YES,River,YES
15.6,1.149004344,49.58,0.871,5.628,100,1.82,1.49,1.69,1.06,25.3,16.65,5.612,10.1248,32,0.075905363,YES,River,YES
14.6,1.214503165,49.58,0.871,4.926,95.7,1.77,1.36,1.66,1.05,25.3,29.53,6.892,11.1168,24,0.079946625,NO,None,YES
17.8,1.203269557,49.58,0.871,5.186,93.8,1.58,1.23,1.6,1.72,25.3,28.32,9.856,14.1424,43,0.08378952,NO,Lake,YES
15.4,1.317472011,49.58,0.871,5.597,94.9,1.76,1.22,1.59,1.52,25.3,21.45,10.108,15.1232,48,0.075894744,NO,None,YES
21.5,0.97704711,49.58,0.871,6.122,97.3,1.65,1.52,1.93,1.37,25.3,14.1,5.53,12.172,34,0.083032787,NO,River,YES
19.6,0.914817647,49.58,0.871,5.404,100,1.86,1.46,1.77,1.27,25.3,13.28,6.492,11.1568,42,0.075318927,NO,River,YES
15.3,0.754515056,49.58,0.871,5.012,88,1.82,1.56,1.9,1.16,25.3,12.12,5.406,10.1224,46,0.085078322,YES,None,YES
19.4,1.147142101,49.58,0.871,5.709,98.5,1.78,1.36,1.9,1.45,25.3,15.79,6.088,12.1552,58,0.083903874,NO,None,YES
17,0.881222983,49.58,0.871,6.129,96,1.77,1.47,1.97,1.78,25.3,15.12,7.44,15.136,48,0.080515947,NO,Lake and River,YES
15.6,1.511827289,49.58,0.871,6.152,82.6,1.88,1.45,1.92,1.74,25.3,15.02,9.912,11.1248,37,0.086711473,NO,River,YES
13.1,1.237411449,49.58,0.871,5.272,94,1.99,1.71,1.85,1.39,25.3,16.14,6.362,10.1048,60,0.074884947,NO,River,YES
41.3,0.79911851,49.58,0.605,6.943,97.4,1.99,1.76,1.92,1.84,25.3,4.59,8.226,13.3304,57,0.05481416,YES,None,YES
24.3,0.851363869,49.58,0.605,6.066,100,1.96,1.54,1.9,1.63,25.3,6.43,8.886,13.1944,46,0.055598528,NO,River,YES
23.3,0.885839772,49.58,0.871,6.51,100,1.84,1.69,1.98,1.56,25.3,7.39,7.166,12.1864,36,0.076488584,YES,Lake,YES
27,0.8213029,49.58,0.605,6.25,92.6,1.86,1.52,1.88,1.94,25.3,5.5,8.44,12.216,23,0.051890692,YES,Lake,YES
50,0.901526272,49.58,0.605,7.489,90.8,2.17,1.89,2.13,1.69,25.3,1.73,10.5,11.4,35,0.053896795,YES,None,YES
50,1.041607981,49.58,0.605,7.802,98.2,2.26,1.76,2.11,2.04,25.3,1.92,8.4,12.4,22,0.055681854,YES,Lake,YES
50,0.923869937,49.58,0.605,8.375,93.9,2.26,1.94,2.4,2.05,25.3,3.32,8,12.4,57,0.060273298,YES,River,YES
22.7,1.17630146,49.58,0.605,5.854,91.8,2.71,2.39,2.49,2.1,25.3,11.64,8.354,15.1816,56,0.065833104,YES,Lake,YES
25,1.367111542,49.58,0.605,6.101,93,2.37,2.28,2.59,1.89,25.3,9.81,10,12.2,22,0.053283066,YES,River,YES
50,1.1020032,49.58,0.605,7.929,96.2,2.11,1.91,2.31,1.86,25.3,3.7,8.3,15.4,37,0.052105035,YES,River,YES
23.8,1.029719412,49.58,0.605,5.877,79.2,2.69,2.21,2.58,2.22,25.3,12.14,10.076,10.1904,22,0.054831218,YES,Lake,YES
23.8,1.194043673,49.58,0.605,6.319,96.1,2.29,2.04,2.24,1.83,25.3,11.1,6.676,11.1904,23,0.066262309,NO,None,YES
22.3,1.23823799,49.58,0.605,6.402,95.2,2.3,2.12,2.33,2.3,25.3,11.32,5.546,15.1784,22,0.053555634,NO,Lake and River,YES
17.4,0.791824413,49.58,0.605,5.875,94.6,2.7,2.42,2.72,1.86,25.3,14.43,7.948,11.1392,28,0.060587462,NO,Lake,YES
19.1,1.198125744,49.58,0.605,5.88,97.3,2.62,2.36,2.55,2.03,25.3,12.03,9.782,12.1528,54,0.057446331,NO,River,YES
23.1,0.130273592,34.05,0.51,5.572,88.5,2.7,2.54,2.73,2.42,23.4,14.69,9.362,12.1848,38,0.052949504,NO,River,YES
23.6,0.087809392,34.05,0.51,6.416,84.1,2.86,2.57,2.77,2.39,23.4,9.04,9.872,10.1888,59,0.053992976,YES,None,YES
22.6,0.081091388,34.05,0.51,5.859,68.7,2.84,2.7,3.03,2.24,23.4,9.64,9.752,15.1808,35,0.052971979,YES,River,YES
29.4,0.064513521,34.05,0.51,6.546,33.1,3.22,2.91,3.21,3.18,23.4,5.33,6.188,12.2352,48,0.050839826,YES,None,YES
23.2,0.067864235,34.05,0.51,6.02,47.2,3.75,3.41,3.78,3.28,23.4,10.11,8.564,15.1856,49,0.05195249,YES,Lake,YES
24.6,0.052829614,34.05,0.51,6.315,73.4,3.35,3.28,3.41,3.24,23.4,6.29,7.092,14.1968,31,0.047376831,YES,Lake,YES
29.9,0.064307244,34.05,0.51,6.86,74.4,3.19,2.75,3.21,2.5,23.4,6.92,5.898,11.2392,28,0.054717152,NO,None,YES
37.2,0.05619128,32.46,0.488,6.98,58.4,3.11,2.55,2.84,2.82,22.2,5.04,9.744,11.2976,50,0.045500586,NO,Lake,YES
39.8,0.063800749,32.46,0.488,7.765,83.3,2.98,2.66,2.96,2.36,22.2,7.56,8.496,14.3184,60,0.046516009,YES,Lake and River,YES
36.2,0.066611371,32.46,0.488,6.144,62.2,2.69,2.39,2.79,2.52,22.2,9.45,6.624,15.2896,59,0.056018002,YES,River,YES
37.9,0.087122204,32.46,0.488,7.155,92.2,2.72,2.65,2.92,2.5,22.2,4.82,9.258,15.3032,56,0.042959915,YES,River,YES
32.5,0.095382904,32.46,0.488,6.563,95.6,3.04,2.67,2.91,2.76,22.2,5.68,7.35,14.26,60,0.045047217,YES,Lake,YES
26.4,0.079808834,32.46,0.488,5.604,89.8,3.06,2.84,3.15,2.91,22.2,13.98,9.928,10.2112,27,0.046676165,YES,Lake,YES
